Product_Name,,,,,,,,,,
SHORT GOLD NECKLACE,,,,,,,,,,
LONG GOLD NECKLACE,,,,,,,,,,
CHOKER,,,,,,,,,,
LONG SILVER NECKLACE,,,,,,,,,,
SHORT SILVER NECKLACE,,,,,,,,,,
THICK LEATHER BELT,,,,,,,,,,
CHAIN BELT,,,,,,,,,,
THIN LEATHER BELT,,,,,,,,,,
BOW TIE,,,,,,,,,,
BEAD NECKLACE,,,,,,,,,,
PEARL NECKLACE,,,,,,,,,,
SUNGLASSES,,,,,,,,,,
HOOP EARRINGS,,,,,,,,,,
RINGS,,,,,,,,,,
LINEN SCARF,,,,,,,,,,
CAP,,,,,,,,,,
DRAWSTRING BELT,,,,,,,,,,
SATIN SCARF,,,,,,,,,,
BUCKET HAT,,,,,,,,,,
CROSSBODY BAG,,,,,,,,,,
TOTE BAG,,,,,,,,,,
KNIT SCARF,,,,,,,,,,
ARM WARMERS,,,,,,,,,,
NECKTIE,,,,,,,,,,
DENIM TOP ,,,,,,,,,,
CROCHET TOP,,,,,,,,,,
RHINESTONE TOP,,,,,,,,,,
OXFORD SHIRT,,,,,,,,,,
POLO SWEATER,,,,,,,,,,
CASHMERE KNIT SWEATER,,,,,,,,,,
CROPPED KNIT SWEATER,,,,,,,,,,
TURTLENECK KNIT SWEATER,,,,,,,,,,
OVERSIZED SHIRT,,,,,,,,,,
JACQUARD TOP,,,,,,,,,,
DENIM SHIRT,,,,,,,,,,
SHEER BLOUSE ,,,,,,,,,,
MINIMALIST BLOUSE,,,,,,,,,,
SHIRT WITH STRIPES,,,,,,,,,,
SATIN SHIRT,,,,,,,,,,
LONG SLEEVE FLOWING TOP,,,,,,,,,,
SEQUINNED SHIRT,,,,,,,,,,
HALTER TOP,,,,,,,,,,
TUNIC BLOUSE,,,,,,,,,,
SUIT VEST,,,,,,,,,,
LINEN SHIRT WITH POCKET,,,,,,,,,,
COTTON OVERSHIRT ,,,,,,,,,,
SWEATSHIRT,,,,,,,,,,
KNIT SWEATER WITH ZIP,,,,,,,,,,
CROPPED KNIT SWEATER,,,,,,,,,,
KNIT POLO SWEATER,,,,,,,,,,
KNIT SWEATER,,,,,,,,,,
KNIT CARDIGAN,,,,,,,,,,
KNIT TOP,,,,,,,,,,
STRIPED OPEN KNIT SWEATER,,,,,,,,,,
PATCHWORK KNIT CARDIGAN,,,,,,,,,,
TURTLENECK TOP,,,,,,,,,,
ZIP UP VEST,,,,,,,,,,
QUARTER ZIP,,,,,,,,,,
BUTTON DOWN SHIRT,,,,,,,,,,
POLO SHIRT,,,,,,,,,,
RIBBED KNIT CROP TOP,,,,,,,,,,
HOODIE,,,,,,,,,,
HOODED CROP TOP,,,,,,,,,,
CROPPED CARDIGAN,,,,,,,,,,
CABLE-KNIT SHIRT,,,,,,,,,,
KNIT BRALETTE ,,,,,,,,,,
COTTON T-SHIRT,,,,,,,,,,
SHORT SLEEVE T-SHIRT,,,,,,,,,,
FLORAL PRINT SHIRT,,,,,,,,,,
CROPPED SHIRT ,,,,,,,,,,
SATIN SHIRT,,,,,,,,,,
TIE-DYE PRINT OVERSIZE SHIRT,,,,,,,,,,
LINEN SHIRT ,,,,,,,,,,
PAISLEY PRINT SHIRT,,,,,,,,,,
POLO COLLAR BLOUSE,,,,,,,,,,
EMBROIDERED COTTON BLOUSE,,,,,,,,,,
